week_start,flight_date,flight_number,origin,destination,route,customer,agreed_tonnage_kg,booked_tonnage_kg,shortfall_kg,base_rate_per_kg,booked_revenue_myr,shortfall_fee_myr,express_surcharge_myr,is_express,total_revenue_myr,status,utilisation_pct
2025-01-06,2025-01-09,AK482,KUL,PEN,KUL-PEN,FedEx Malaysia,3708.3,3472.3,236.0,4.89,16979.55,230.81,0.0,False,16979.55,At Risk,93.6
2025-01-06,2025-01-08,AK165,KUL,PEN,KUL-PEN,DHL Malaysia,4548.3,3592.7,955.6,5.21,18717.97,995.74,2807.7,True,21525.67,Shortfall,79.0
2025-01-06,2025-01-07,AK160,KUL,BKI,KUL-BKI,SF Express,3148.0,2632.5,515.5,2.54,6686.55,261.87,0.0,False,6686.55,Shortfall,83.6
2025-01-06,2025-01-07,AK626,KUL,BKI,KUL-BKI,Kerry Logistics,803.3,634.4,168.9,2.69,1706.54,90.87,0.0,False,1706.54,Shortfall,79.0
2025-01-06,2025-01-10,AK840,KUL,BKI,KUL-BKI,Ninja Van,1753.1,2029.8,0.0,5.41,10981.22,0.0,0.0,False,10981.22,On Track,115.8
2025-01-06,2025-01-06,AK578,KUL,KCH,KUL-KCH,FedEx Malaysia,936.2,822.0,114.2,5.09,4183.98,116.26,0.0,False,4183.98,At Risk,87.8
2025-01-06,2025-01-08,AK512,KUL,KCH,KUL-KCH,Ninja Van,3530.1,2546.4,983.7,8.4,21389.76,1652.62,3208.46,True,24598.22,Shortfall,72.1
2025-01-06,2025-01-09,AK649,KUL,KCH,KUL-KCH,SF Express,4102.7,4116.6,0.0,3.16,13008.46,0.0,1951.27,True,14959.73,On Track,100.3
2025-01-06,2025-01-06,AK995,KUL,KCH,KUL-KCH,Pos Laju,1130.8,788.0,342.8,3.6,2836.8,246.82,0.0,False,2836.8,Shortfall,69.7
2025-01-06,2025-01-10,AK151,KUL,KCH,KUL-KCH,Kerry Logistics,2494.1,2272.9,221.2,7.67,17433.14,339.32,0.0,False,17433.14,At Risk,91.1
2025-01-06,2025-01-07,AK969,KUL,KCH,KUL-KCH,Lazada Express,4262.1,2497.8,1764.3,8.31,20756.72,2932.27,0.0,False,20756.72,Shortfall,58.6
2025-01-06,2025-01-06,AK510,KUL,KCH,KUL-KCH,Shopee Logistics,1248.4,849.9,398.5,5.41,4597.96,431.18,689.69,True,5287.65,Shortfall,68.1
2025-01-06,2025-01-10,AK813,PEN,SIN,PEN-SIN,Pos Laju,4669.3,4246.9,422.4,7.21,30620.15,609.1,0.0,False,30620.15,At Risk,91.0
2025-01-06,2025-01-06,AK322,PEN,SIN,PEN-SIN,Shopee Logistics,3478.4,3446.3,32.1,5.42,18678.95,34.8,2801.84,True,21480.79,At Risk,99.1
2025-01-06,2025-01-06,AK158,PEN,SIN,PEN-SIN,SF Express,3106.3,2813.4,292.9,5.75,16177.05,336.84,0.0,False,16177.05,At Risk,90.6
2025-01-06,2025-01-06,AK261,PEN,SIN,PEN-SIN,DHL Malaysia,3128.8,2699.1,429.7,5.52,14899.03,474.39,0.0,False,14899.03,At Risk,86.3
2025-01-06,2025-01-06,AK708,KCH,SIN,KCH-SIN,Lazada Express,1039.5,867.8,171.7,7.84,6803.55,269.23,1020.53,True,7824.08,Shortfall,83.5
2025-01-06,2025-01-08,AK635,KCH,SIN,KCH-SIN,DHL Malaysia,3287.2,2163.7,1123.5,5.02,10861.77,1127.99,0.0,False,10861.77,Shortfall,65.8
2025-01-06,2025-01-08,AK344,KCH,SIN,KCH-SIN,SF Express,4706.2,3633.3,1072.9,3.73,13552.21,800.38,0.0,False,13552.21,Shortfall,77.2
2025-01-06,2025-01-06,AK423,KCH,SIN,KCH-SIN,J&T Express,2281.0,1849.7,431.3,6.53,12078.54,563.28,0.0,False,12078.54,Shortfall,81.1
2025-01-06,2025-01-06,AK202,KCH,SIN,KCH-SIN,Shopee Logistics,541.9,562.8,0.0,6.23,3506.24,0.0,0.0,False,3506.24,On Track,103.9
2025-01-06,2025-01-06,AK457,KCH,SIN,KCH-SIN,FedEx Malaysia,2919.4,2719.5,199.9,5.54,15066.03,221.49,2259.9,True,17325.93,At Risk,93.2
2025-01-06,2025-01-10,AK953,KCH,SIN,KCH-SIN,Ninja Van,4456.7,2743.3,1713.4,4.72,12948.38,1617.45,1942.26,True,14890.64,Shortfall,61.6
2025-01-13,2025-01-15,AK237,KUL,SIN,KUL-SIN,SF Express,1847.2,1715.3,131.9,6.48,11115.14,170.94,0.0,False,11115.14,At Risk,92.9
2025-01-13,2025-01-15,AK378,KUL,SIN,KUL-SIN,Kerry Logistics,1019.4,838.2,181.2,3.14,2631.95,113.79,0.0,False,2631.95,Shortfall,82.2
2025-01-13,2025-01-15,AK749,KUL,SIN,KUL-SIN,Shopee Logistics,3221.7,2508.0,713.7,6.81,17079.48,972.06,2561.92,True,19641.4,Shortfall,77.8
2025-01-13,2025-01-13,AK152,KUL,SIN,KUL-SIN,GDex,2774.3,2695.9,78.4,4.01,10810.56,62.88,0.0,False,10810.56,At Risk,97.2
2025-01-13,2025-01-14,AK441,KUL,SIN,KUL-SIN,J&T Express,3354.3,3470.5,0.0,7.48,25959.34,0.0,3893.9,True,29853.24,On Track,103.5
2025-01-13,2025-01-17,AK252,KUL,BKK,KUL-BKK,DHL Malaysia,1003.4,1023.2,0.0,8.17,8359.54,0.0,0.0,False,8359.54,On Track,102.0
2025-01-13,2025-01-14,AK540,KUL,BKK,KUL-BKK,FedEx Malaysia,662.1,499.3,162.8,4.72,2356.7,153.68,0.0,False,2356.7,Shortfall,75.4
2025-01-13,2025-01-13,AK981,KUL,BKK,KUL-BKK,Pos Laju,688.2,573.7,114.5,4.69,2690.65,107.4,0.0,False,2690.65,Shortfall,83.4
2025-01-13,2025-01-15,AK205,KUL,BKK,KUL-BKK,J&T Express,4545.2,4225.6,319.6,3.76,15888.26,240.34,2383.24,True,18271.5,At Risk,93.0
2025-01-13,2025-01-14,AK735,KUL,BKK,KUL-BKK,Shopee Logistics,4010.5,4116.1,0.0,7.8,32105.58,0.0,0.0,False,32105.58,On Track,102.6
2025-01-13,2025-01-14,AK521,KUL,CGK,KUL-CGK,DHL Malaysia,1307.1,1056.3,250.8,8.05,8503.22,403.79,0.0,False,8503.22,Shortfall,80.8
2025-01-13,2025-01-13,AK993,KUL,CGK,KUL-CGK,SF Express,1700.6,1449.2,251.4,7.22,10463.22,363.02,1569.48,True,12032.7,At Risk,85.2
2025-01-13,2025-01-15,AK571,KUL,CGK,KUL-CGK,Pos Laju,4363.7,3115.9,1247.8,3.83,11933.9,955.81,0.0,False,11933.9,Shortfall,71.4
2025-01-13,2025-01-14,AK124,KUL,CGK,KUL-CGK,Shopee Logistics,1873.4,1312.4,561.0,7.27,9541.15,815.69,1431.17,True,10972.32,Shortfall,70.1
2025-01-13,2025-01-15,AK649,KUL,MNL,KUL-MNL,GDex,3386.7,3393.1,0.0,4.9,16626.19,0.0,0.0,False,16626.19,On Track,100.2
2025-01-13,2025-01-17,AK282,KUL,MNL,KUL-MNL,J&T Express,4726.6,5121.0,0.0,3.19,16335.99,0.0,0.0,False,16335.99,On Track,108.3
2025-01-13,2025-01-15,AK544,KUL,MNL,KUL-MNL,Lazada Express,4831.4,4199.4,632.0,4.09,17175.55,516.98,2576.33,True,19751.88,At Risk,86.9
2025-01-13,2025-01-13,AK623,KUL,MNL,KUL-MNL,Pos Laju,3778.5,3893.9,0.0,4.38,17055.28,0.0,0.0,False,17055.28,On Track,103.1
2025-01-13,2025-01-16,AK825,KUL,MNL,KUL-MNL,DHL Malaysia,2233.4,2086.5,146.9,5.96,12435.54,175.1,0.0,False,12435.54,At Risk,93.4
2025-01-13,2025-01-14,AK836,KUL,MNL,KUL-MNL,SF Express,507.6,397.6,110.0,8.05,3200.68,177.1,0.0,False,3200.68,Shortfall,78.3
2025-01-13,2025-01-15,AK619,KUL,SGN,KUL-SGN,Pos Laju,3485.2,3255.9,229.3,3.25,10581.68,149.04,0.0,False,10581.68,At Risk,93.4
2025-01-13,2025-01-14,AK667,KUL,SGN,KUL-SGN,Lazada Express,3501.0,3888.6,0.0,4.46,17343.16,0.0,0.0,False,17343.16,On Track,111.1
2025-01-13,2025-01-14,AK866,KUL,SGN,KUL-SGN,GDex,1363.3,1192.4,170.9,6.49,7738.68,221.83,0.0,False,7738.68,At Risk,87.5
2025-01-13,2025-01-15,AK100,KUL,SGN,KUL-SGN,J&T Express,3269.8,3644.8,0.0,4.31,15709.09,0.0,0.0,False,15709.09,On Track,111.5
2025-01-13,2025-01-15,AK770,KUL,SGN,KUL-SGN,DHL Malaysia,1791.1,872.3,918.8,5.08,4431.28,933.5,0.0,False,4431.28,Shortfall,48.7
2025-01-13,2025-01-15,AK734,KUL,PEN,KUL-PEN,FedEx Malaysia,3464.8,3476.2,0.0,4.2,14600.04,0.0,0.0,False,14600.04,On Track,100.3
2025-01-13,2025-01-14,AK417,KUL,PEN,KUL-PEN,SF Express,920.2,821.8,98.4,8.21,6746.98,161.57,1012.05,True,7759.03,At Risk,89.3
2025-01-13,2025-01-17,AK586,KUL,PEN,KUL-PEN,Ninja Van,4129.5,3448.7,680.8,3.38,11656.61,460.22,1748.49,True,13405.1,Shortfall,83.5
2025-01-13,2025-01-17,AK744,KUL,PEN,KUL-PEN,J&T Express,4323.8,3864.5,459.3,2.94,11361.63,270.07,0.0,False,11361.63,At Risk,89.4
2025-01-13,2025-01-14,AK349,KUL,PEN,KUL-PEN,Kerry Logistics,1375.0,800.1,574.9,6.68,5344.67,768.07,0.0,False,5344.67,Shortfall,58.2
2025-01-13,2025-01-13,AK888,KUL,PEN,KUL-PEN,Lazada Express,3452.3,2924.3,528.0,2.53,7398.48,267.17,0.0,False,7398.48,Shortfall,84.7
2025-01-13,2025-01-17,AK575,KUL,BKI,KUL-BKI,Ninja Van,4628.6,4321.1,307.5,3.23,13957.15,198.65,2093.57,True,16050.72,At Risk,93.4
2025-01-13,2025-01-17,AK553,KUL,BKI,KUL-BKI,DHL Malaysia,4945.5,5448.4,0.0,6.07,33071.79,0.0,0.0,False,33071.79,On Track,110.2
2025-01-13,2025-01-16,AK661,KUL,BKI,KUL-BKI,FedEx Malaysia,4167.5,3343.4,824.1,7.85,26245.69,1293.84,0.0,False,26245.69,Shortfall,80.2
2025-01-13,2025-01-14,AK365,KUL,BKI,KUL-BKI,Shopee Logistics,4537.4,3442.6,1094.8,6.96,23960.5,1523.96,0.0,False,23960.5,Shortfall,75.9
2025-01-13,2025-01-14,AK596,KUL,BKI,KUL-BKI,J&T Express,4279.4,3443.8,835.6,4.16,14326.21,695.22,0.0,False,14326.21,Shortfall,80.5
2025-01-13,2025-01-15,AK378,KUL,BKI,KUL-BKI,Lazada Express,1735.7,1765.7,0.0,2.96,5226.47,0.0,0.0,False,5226.47,On Track,101.7
2025-01-13,2025-01-16,AK524,KUL,KCH,KUL-KCH,Kerry Logistics,2223.7,2066.5,157.2,3.42,7067.43,107.52,1060.11,True,8127.54,At Risk,92.9
2025-01-13,2025-01-16,AK952,KUL,KCH,KUL-KCH,Lazada Express,1989.0,1592.3,396.7,5.3,8439.19,420.5,1265.88,True,9705.07,Shortfall,80.1
2025-01-13,2025-01-17,AK120,KUL,KCH,KUL-KCH,DHL Malaysia,2252.6,2155.7,96.9,7.12,15348.58,137.99,0.0,False,15348.58,At Risk,95.7
2025-01-13,2025-01-16,AK871,KUL,KCH,KUL-KCH,SF Express,2211.7,1978.5,233.2,2.54,5025.39,118.47,0.0,False,5025.39,At Risk,89.5
2025-01-13,2025-01-17,AK865,KUL,KCH,KUL-KCH,Pos Laju,4340.5,4450.3,0.0,8.22,36581.47,0.0,0.0,False,36581.47,On Track,102.5
2025-01-13,2025-01-14,AK841,PEN,SIN,PEN-SIN,Ninja Van,2249.9,1743.0,506.9,6.51,11346.93,659.98,0.0,False,11346.93,Shortfall,77.5
2025-01-13,2025-01-13,AK646,PEN,SIN,PEN-SIN,FedEx Malaysia,4282.3,3558.0,724.3,8.02,28535.16,1161.78,0.0,False,28535.16,Shortfall,83.1
2025-01-13,2025-01-16,AK185,PEN,SIN,PEN-SIN,SF Express,4581.2,3762.0,819.2,6.05,22760.1,991.23,0.0,False,22760.1,Shortfall,82.1
2025-01-13,2025-01-15,AK488,PEN,SIN,PEN-SIN,DHL Malaysia,1110.6,733.5,377.1,5.27,3865.54,397.46,579.83,True,4445.37,Shortfall,66.0
2025-01-13,2025-01-15,AK488,PEN,SIN,PEN-SIN,Kerry Logistics,1452.5,1342.7,109.8,4.46,5988.44,97.94,0.0,False,5988.44,At Risk,92.4
2025-01-13,2025-01-16,AK183,PEN,SIN,PEN-SIN,GDex,3884.0,3570.0,314.0,7.49,26739.3,470.37,0.0,False,26739.3,At Risk,91.9
2025-01-13,2025-01-14,AK458,PEN,SIN,PEN-SIN,Shopee Logistics,587.2,517.2,70.0,5.74,2968.73,80.36,0.0,False,2968.73,At Risk,88.1
2025-01-13,2025-01-16,AK229,KCH,SIN,KCH-SIN,Shopee Logistics,1397.1,1180.3,216.8,2.62,3092.39,113.6,463.86,True,3556.25,Shortfall,84.5
2025-01-13,2025-01-15,AK816,KCH,SIN,KCH-SIN,SF Express,3512.6,2345.3,1167.3,5.88,13790.36,1372.74,2068.55,True,15858.91,Shortfall,66.8
2025-01-13,2025-01-13,AK865,KCH,SIN,KCH-SIN,Ninja Van,3951.0,3227.6,723.4,3.51,11328.88,507.83,0.0,False,11328.88,Shortfall,81.7
2025-01-20,2025-01-21,AK832,KUL,SIN,KUL-SIN,J&T Express,3091.1,2561.3,529.8,7.95,20362.34,842.38,0.0,False,20362.34,Shortfall,82.9
2025-01-20,2025-01-22,AK204,KUL,SIN,KUL-SIN,Lazada Express,842.0,639.6,202.4,6.64,4246.94,268.79,0.0,False,4246.94,Shortfall,76.0
2025-01-20,2025-01-20,AK679,KUL,SIN,KUL-SIN,Shopee Logistics,4326.3,3702.5,623.8,6.1,22585.25,761.04,3387.79,True,25973.04,At Risk,85.6
2025-01-20,2025-01-22,AK618,KUL,SIN,KUL-SIN,DHL Malaysia,2062.4,1939.9,122.5,5.07,9835.29,124.22,0.0,False,9835.29,At Risk,94.1
2025-01-20,2025-01-21,AK570,KUL,BKK,KUL-BKK,Pos Laju,2450.9,2850.2,0.0,4.67,13310.43,0.0,0.0,False,13310.43,On Track,116.3
2025-01-20,2025-01-24,AK376,KUL,BKK,KUL-BKK,FedEx Malaysia,2459.7,2228.9,230.8,6.9,15379.41,318.5,0.0,False,15379.41,At Risk,90.6
2025-01-20,2025-01-24,AK546,KUL,BKK,KUL-BKK,Lazada Express,4136.9,3800.3,336.6,5.73,21775.72,385.74,0.0,False,21775.72,At Risk,91.9
2025-01-20,2025-01-22,AK488,KUL,CGK,KUL-CGK,GDex,1597.4,1387.9,209.5,5.29,7341.99,221.65,0.0,False,7341.99,At Risk,86.9
2025-01-20,2025-01-22,AK317,KUL,CGK,KUL-CGK,Ninja Van,629.1,372.5,256.6,7.61,2834.72,390.55,425.21,True,3259.93,Shortfall,59.2
2025-01-20,2025-01-22,AK818,KUL,CGK,KUL-CGK,Lazada Express,4090.2,3583.1,507.1,4.54,16267.27,460.45,0.0,False,16267.27,At Risk,87.6
2025-01-20,2025-01-23,AK347,KUL,CGK,KUL-CGK,DHL Malaysia,3001.1,2668.1,333.0,5.6,14941.36,372.96,2241.2,True,17182.56,At Risk,88.9
2025-01-20,2025-01-23,AK761,KUL,CGK,KUL-CGK,Kerry Logistics,2698.6,3238.3,0.0,7.05,22830.01,0.0,0.0,False,22830.01,On Track,120.0
2025-01-20,2025-01-22,AK643,KUL,MNL,KUL-MNL,Shopee Logistics,1877.9,1598.4,279.5,5.99,9574.42,334.84,0.0,False,9574.42,At Risk,85.1
2025-01-20,2025-01-23,AK819,KUL,MNL,KUL-MNL,Lazada Express,2414.8,2234.3,180.5,6.98,15595.41,251.98,0.0,False,15595.41,At Risk,92.5
2025-01-20,2025-01-22,AK297,KUL,MNL,KUL-MNL,J&T Express,1719.1,1503.9,215.2,4.01,6030.64,172.59,904.6,True,6935.24,At Risk,87.5
2025-01-20,2025-01-21,AK289,KUL,MNL,KUL-MNL,Kerry Logistics,1038.0,731.5,306.5,5.72,4184.18,350.64,0.0,False,4184.18,Shortfall,70.5
2025-01-20,2025-01-24,AK878,KUL,MNL,KUL-MNL,Ninja Van,1473.7,1549.5,0.0,5.41,8382.8,0.0,0.0,False,8382.8,On Track,105.1
2025-01-20,2025-01-21,AK403,KUL,MNL,KUL-MNL,Pos Laju,3185.6,3162.6,23.0,8.38,26502.59,38.55,0.0,False,26502.59,At Risk,99.3
2025-01-20,2025-01-21,AK399,KUL,SGN,KUL-SGN,DHL Malaysia,1069.6,1068.2,1.4,2.77,2958.91,0.78,443.84,True,3402.75,At Risk,99.9
2025-01-20,2025-01-24,AK112,KUL,SGN,KUL-SGN,J&T Express,3370.4,2506.2,864.2,7.02,17593.52,1213.34,2639.03,True,20232.55,Shortfall,74.4
2025-01-20,2025-01-22,AK152,KUL,SGN,KUL-SGN,Shopee Logistics,1779.5,1940.4,0.0,5.37,10419.95,0.0,0.0,False,10419.95,On Track,109.0
2025-01-20,2025-01-23,AK510,KUL,SGN,KUL-SGN,GDex,4734.8,3171.0,1563.8,5.37,17028.27,1679.52,0.0,False,17028.27,Shortfall,67.0
2025-01-20,2025-01-24,AK252,KUL,SGN,KUL-SGN,Kerry Logistics,833.4,806.8,26.6,6.28,5066.7,33.41,760.0,True,5826.7,At Risk,96.8
2025-01-20,2025-01-23,AK635,KUL,PEN,KUL-PEN,Lazada Express,3228.4,3874.1,0.0,7.24,28048.48,0.0,4207.27,True,32255.75,On Track,120.0
2025-01-20,2025-01-22,AK539,KUL,PEN,KUL-PEN,Ninja Van,2527.3,1848.5,678.8,5.16,9538.26,700.52,0.0,False,9538.26,Shortfall,73.1
2025-01-20,2025-01-21,AK201,KUL,PEN,KUL-PEN,SF Express,3058.8,2431.9,626.9,2.86,6955.23,358.59,0.0,False,6955.23,Shortfall,79.5
2025-01-20,2025-01-21,AK345,KUL,PEN,KUL-PEN,J&T Express,3314.8,2966.6,348.2,4.09,12133.39,284.83,1820.01,True,13953.4,At Risk,89.5
2025-01-20,2025-01-24,AK805,KUL,PEN,KUL-PEN,Kerry Logistics,2984.0,2400.6,583.4,3.44,8258.06,401.38,0.0,False,8258.06,Shortfall,80.4
2025-01-20,2025-01-24,AK370,KUL,BKI,KUL-BKI,J&T Express,3663.4,2371.7,1291.7,5.22,12380.27,1348.53,0.0,False,12380.27,Shortfall,64.7
2025-01-20,2025-01-21,AK657,KUL,BKI,KUL-BKI,Shopee Logistics,3475.3,3094.0,381.3,8.1,25061.4,617.71,0.0,False,25061.4,At Risk,89.0
2025-01-20,2025-01-20,AK173,KUL,BKI,KUL-BKI,Ninja Van,3414.4,2460.6,953.8,7.95,19561.77,1516.54,0.0,False,19561.77,Shortfall,72.1
2025-01-20,2025-01-22,AK682,KUL,BKI,KUL-BKI,DHL Malaysia,1246.7,1185.7,61.0,4.35,5157.8,53.07,0.0,False,5157.8,At Risk,95.1
2025-01-20,2025-01-22,AK512,KUL,BKI,KUL-BKI,GDex,2476.2,1837.6,638.6,5.31,9757.66,678.19,0.0,False,9757.66,Shortfall,74.2
2025-01-20,2025-01-23,AK140,KUL,BKI,KUL-BKI,Pos Laju,2752.1,3061.7,0.0,5.46,16716.88,0.0,2507.53,True,19224.41,On Track,111.2
2025-01-20,2025-01-22,AK121,KUL,KCH,KUL-KCH,SF Express,4828.6,3681.9,1146.7,7.52,27687.89,1724.64,0.0,False,27687.89,Shortfall,76.3
2025-01-20,2025-01-23,AK631,KUL,KCH,KUL-KCH,J&T Express,3093.1,2572.5,520.6,7.08,18213.3,737.17,2731.99,True,20945.29,Shortfall,83.2
2025-01-20,2025-01-23,AK750,KUL,KCH,KUL-KCH,Shopee Logistics,4622.3,4631.7,0.0,3.59,16627.8,0.0,0.0,False,16627.8,On Track,100.2
2025-01-20,2025-01-20,AK428,KUL,KCH,KUL-KCH,FedEx Malaysia,4860.7,3380.0,1480.7,5.32,17981.6,1575.46,0.0,False,17981.6,Shortfall,69.5
2025-01-20,2025-01-23,AK395,KUL,KCH,KUL-KCH,Lazada Express,4359.8,3985.4,374.4,4.48,17854.59,335.46,0.0,False,17854.59,At Risk,91.4
2025-01-20,2025-01-24,AK101,PEN,SIN,PEN-SIN,Shopee Logistics,4865.8,5235.9,0.0,4.93,25812.99,0.0,0.0,False,25812.99,On Track,107.6
2025-01-20,2025-01-23,AK737,PEN,SIN,PEN-SIN,FedEx Malaysia,2578.9,1647.6,931.3,2.83,4662.71,527.12,0.0,False,4662.71,Shortfall,63.9
2025-01-20,2025-01-21,AK662,PEN,SIN,PEN-SIN,Lazada Express,3314.3,3008.4,305.9,7.06,21239.3,431.93,3185.89,True,24425.19,At Risk,90.8
2025-01-20,2025-01-20,AK224,PEN,SIN,PEN-SIN,DHL Malaysia,4674.5,4295.8,378.7,5.13,22037.45,388.55,0.0,False,22037.45,At Risk,91.9
2025-01-20,2025-01-22,AK262,PEN,SIN,PEN-SIN,Pos Laju,4879.2,4865.9,13.3,6.15,29925.28,16.36,4488.79,True,34414.07,At Risk,99.7
2025-01-20,2025-01-20,AK961,PEN,SIN,PEN-SIN,GDex,2978.8,2068.6,910.2,5.81,12018.57,1057.65,1802.79,True,13821.36,Shortfall,69.4
2025-01-20,2025-01-22,AK610,PEN,SIN,PEN-SIN,SF Express,2576.5,1757.0,819.5,3.2,5622.4,524.48,0.0,False,5622.4,Shortfall,68.2
2025-01-20,2025-01-20,AK239,KCH,SIN,KCH-SIN,J&T Express,2226.1,2133.3,92.8,8.03,17130.4,149.04,0.0,False,17130.4,At Risk,95.8
2025-01-20,2025-01-24,AK906,KCH,SIN,KCH-SIN,Pos Laju,1743.1,1611.6,131.5,7.24,11667.98,190.41,0.0,False,11667.98,At Risk,92.5
2025-01-20,2025-01-24,AK957,KCH,SIN,KCH-SIN,FedEx Malaysia,1702.3,1562.0,140.3,2.52,3936.24,70.71,0.0,False,3936.24,At Risk,91.8
2025-01-20,2025-01-24,AK557,KCH,SIN,KCH-SIN,Ninja Van,3109.7,2898.1,211.6,6.46,18721.73,273.39,0.0,False,18721.73,At Risk,93.2
2025-01-20,2025-01-23,AK486,KCH,SIN,KCH-SIN,Lazada Express,2679.5,2084.6,594.9,4.49,9359.85,534.22,0.0,False,9359.85,Shortfall,77.8
2025-01-20,2025-01-24,AK344,KCH,SIN,KCH-SIN,Kerry Logistics,4697.8,4297.7,400.1,7.72,33178.24,617.75,0.0,False,33178.24,At Risk,91.5
